ARO_accession,ARO_name,ARO_description,"AMR Gene Family","Drug Class","Antibiotic class","Resistance Mechanism",Total_reads,Gene_Count
ARO:3001032,TEM-166,"TEM-166 is a beta-lactamase found in E. coli.","TEM beta-lactamase",cephalosporin;monobactam;penam;penem,Beta-lactam,"antibiotic inactivation",8,1
ARO:3001037,TEM-171,"TEM-171 is a beta-lactamase.","TEM beta-lactamase",cephalosporin;monobactam;penam;penem,Beta-lactam,"antibiotic inactivation",138,1
ARO:3001068,SHV-9,"SHV-9 is an extended-spectrum beta-lactamase found in Klebsiella pneumoniae.","SHV beta-lactamase",carbapenem;cephalosporin;penam,Beta-lactam,"antibiotic inactivation",38,1
ARO:3001108,SHV-51,"SHV-51 is a beta-lactamase found in Klebsiella pneumoniae.","SHV beta-lactamase",carbapenem;cephalosporin;penam,Beta-lactam,"antibiotic inactivation",8,1
ARO:3001146,SHV-94,"SHV-94 is a beta-lactamase found in Klebsiella pneumoniae.","SHV beta-lactamase",carbapenem;cephalosporin;penam,Beta-lactam,"antibiotic inactivation",26,1
ARO:3001191,SHV-152,"SHV-152 is a beta-lactamase.","SHV beta-lactamase",carbapenem;cephalosporin;penam,Beta-lactam,"antibiotic inactivation",2,1
ARO:3001205,BRP(MBL),"A novel bleomycin resistance protein encoded by a metallo-beta-lactamase-associated ble gene. Expression of BRP(MBL) confers resistance to bleomycin and bleomycin-like antibiotics in Enterobacteriaceae and Acinetobacter, where it is co-expressed with an MBL and controlled by the same promoter region.","Bleomycin resistant protein","glycopeptide antibiotic",Glycopeptide,"antibiotic inactivation",10,4
ARO:3001209,mecC,"A foreign PBP2a acquired by lateral gene transfer that able to perform peptidoglycan synthesis in the presence of beta-lactams.","methicillin resistant PBP2",carbapenem;cephalosporin;cephamycin;monobactam;penam,Beta-lactam,"antibiotic target replacement",209430,1102
ARO:3001214,mdtM,"Multidrug resistance protein MdtM","major facilitator superfamily (MFS) antibiotic efflux pump","acridine dye;fluoroquinolone antibiotic;lincosamide antibiotic;nucleoside antibiotic;phenicol antibiotic",Multidrug,"antibiotic efflux",1622,27
ARO:3001216,mdtH,"Multidrug resistance protein MdtH","major facilitator superfamily (MFS) antibiotic efflux pump","fluoroquinolone antibiotic",Multidrug,"antibiotic efflux",610,28
ARO:3001265,Erm(30),"Erm(30) confers a MLSb resistant phenotype. Along with erm(31), these genes are responsible for self-resistance in the pikromycin/narbomycin/methymycin/neomethymycin producer, Streptomyces venezuelae.","Erm 23S ribosomal RNA methyltransferase","lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic",MLS,"antibiotic target alteration",10336,125
ARO:3001299,"tlrB conferring tylosin resistance","TlrB is a methyltransferase found in Streptomyces fradiae and confers resistance to mycinamicin, tylosin and lincosamides. Specifically, this enzyme adds a methyl group to guanosine 748 (E. coli numbering). TlrB is found in the tylosin biosynthetic cluster and is one mechanism by which S. fradiae protects itself from self-destruction when producing this macrolide.","non-erm 23S ribosomal RNA methyltransferase (G748)","lincosamide antibiotic;macrolide antibiotic",MLS,"antibiotic target alteration",35262,237
ARO:3001300,myrA,"myrA is a methyltransferase found in Micromonospora griseorubida and confers resistance to mycinamicin, tylosin and lincosamides. Specifically, this enzyme adds a methyl group to guanosine 748 (E. coli numbering) of 23S ribosomal RNA. MyrA is found in the mycinamicin biosynthetic cluster and is one mechanism by which M. griseorubida protects itself from self-destruction when producing this macrolide.","non-erm 23S ribosomal RNA methyltransferase (G748)","lincosamide antibiotic;macrolide antibiotic",MLS,"antibiotic target alteration",26034,274
ARO:3001301,RlmA(II),"RlmA(II) is a methyltransferase found in Streptococcus pneumoniae and confers resistance to mycinamicin, tylosin and lincosamides. Specifically, this enzyme adds a methyl group to guanosine 748 (E. coli numbering) of 23S ribosomal RNA.","non-erm 23S ribosomal RNA methyltransferase (G748)","lincosamide antibiotic;macrolide antibiotic",MLS,"antibiotic target alteration",69422,368
ARO:3001302,chrB,"ChrB is a methyltransferase found in Streptomyces bikiniensis and confers resistance to chalcomycin, mycinamicin, tylosin and lincosamides. Specifically, this enzyme adds a methyl group to guanosine 748 (E. coli numbering). chrB is found in the chalcomycin biosynthetic cluster and is responsible for self-resistance in S. bikiniensis.","non-erm 23S ribosomal RNA methyltransferase (G748)","lincosamide antibiotic;macrolide antibiotic",MLS,"antibiotic target alteration",24824,301
ARO:3001303,ErmO-srmA,"ErmO (gene srmA) is a methyltransferase found in the spiramycin producer Streptomyces ambofaciens. Like other Erm enzymes, it catalyzes the methylation of A2058 of the 23S ribosomal RNA. Specifically, this enzyme transfers only one methyl group. The gene is responsible for self-resistance to spiramycin.","Erm 23S ribosomal RNA methyltransferase","lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic",MLS,"antibiotic target alteration",7034,19
ARO:3001304,ErmS,"ErmS is a methyltransferase found in the tylosin producer Streptomyces fradiae. Like other Erm enzymes, it catalyzes the methylation of A2058 of the 23S ribosomal RNA. Specifically, this enzyme transfers two methyl groups. The gene is found within the tylosin biosynthetic cluster and is responsible for self-resistance","Erm 23S ribosomal RNA methyltransferase","lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic",MLS,"antibiotic target alteration",3558,30
ARO:3001305,ErmU,"ErmU is a methyltransferase found in the lincomycin producer Streptomyces lincolnensis. Like other Erm enzymes, it catalyzes the methylation of A2058 of the 23S ribosomal RNA. Specifically, this enzyme transfers only one methyl group. The gene is found in the lincomycin biosynthetic cluster and is responsible for self-resistance.","Erm 23S ribosomal RNA methyltransferase","lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic",MLS,"antibiotic target alteration",162,3
ARO:3001306,ErmW,"ErmW is a methyltransferase found in the mycinamicin producer Micromonospora griseorubida. Like other Erm enzymes, it catalyzes the methylation of A2058 of the 23S ribosomal RNA. The gene is found within the mycinamicin biosynthetic cluster and is responsible for self-resistance.","Erm 23S ribosomal RNA methyltransferase","lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic",MLS,"antibiotic target alteration",1252,14
ARO:3001307,vgbA,"vgbA inactivates streptogramin B-type antibiotics by linearizing the lactone ring on the ester bond using an elimination mechanism, thus conferring resistance to these compounds.","streptogramin vgb lyase","streptogramin antibiotic",MLS,"antibiotic inactivation",2,1
ARO:3001308,vgbB,"VgbB inactivates streptogramin B-type antibiotics by linearizing the lactone ring on the ester bond through an elimination mechanism, thus conferring resistance.","streptogramin vgb lyase","streptogramin antibiotic",MLS,"antibiotic inactivation",12,4
ARO:3001313,facT,"Efflux protein facT confers resistance to factumycin. The gene has been heterologously expressed in S. coelicolor and its function was confirmed (Thaker et al. Med. Chem. Commun. 2012, 3: 1020). It is possible that this gene can efflux other kirromycin-like elfamycins, but this has not been tested.","major facilitator superfamily (MFS) antibiotic efflux pump","elfamycin antibiotic",Elfamycin,"antibiotic efflux",14450,236
ARO:3001327,MdtK,"A multidrug and toxic compound extrusions (MATE) transporter conferring resistance to norfloxacin, doxorubicin and acriflavine.","multidrug and toxic compound extrusion (MATE) transporter","fluoroquinolone antibiotic",Multidrug,"antibiotic efflux",112748,567
ARO:3001328,"Escherichia coli mdfA","Multidrug efflux pump in E. coli. This multidrug efflux system was originally identified as the Cmr/CmlA chloramphenicol exporter.","major facilitator superfamily (MFS) antibiotic efflux pump","benzalkonium chloride;rhodamine;tetracycline antibiotic",Multidrug,"antibiotic efflux",1400,38
ARO:3001329,mdtG,"The MdtG protein, also named YceE, appears to be a member of the major facilitator superfamily of transporters, and it has been reported, when overexpressed, to increase fosfomycin and deoxycholate resistances. mdtG is a member of the marA-soxS-rob regulon.","major facilitator superfamily (MFS) antibiotic efflux pump",fosfomycin,Fosfomycin,"antibiotic efflux",2856,97
ARO:3001392,TEM-215,"From the Lahey list of beta-lactamases. Not yet released.","TEM beta-lactamase",cephalosporin;monobactam;penam;penem,Beta-lactam,"antibiotic inactivation",40,1
ARO:3001396,OXA-1,"OXA-1 is a beta-lactamase found in E. coli","OXA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",38,1
ARO:3001397,OXA-2,"OXA-2 is a beta-lactamase found in the Enterobacteriaceae family.","OXA beta-lactamase",carbapenem;cephalosporin;penam,Beta-lactam,"antibiotic inactivation",2,1
ARO:3001400,OXA-5,"OXA-5 is a beta-lactamase found in P. aeruginosa and Enterobacteriaceae.","OXA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",414,4
ARO:3001405,OXA-10,"OXA-10 is a beta-lactamase found in Acinetobacter baumannii and P. aeruginosa.","OXA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",2,1
ARO:3001413,OXA-18,"OXA-18 is a beta-lactamase found in P. aeruginosa and Rickettsia.","OXA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",6,1
ARO:3001416,OXA-21,"OXA-21 is a beta-lactamase found in A. baumannii","OXA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",4,1
ARO:3001458,OXA-153,"OXA-153 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.","OXA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",6,1
ARO:3001461,OXA-156,"OXA-156 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.","OXA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",8,1
ARO:3001495,OXA-233,"OXA-233 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.","OXA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",16,1
ARO:3001503,OXA-258,"OXA-258 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.","OXA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",2,1
ARO:3001519,OXA-331,"OXA-331 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.","OXA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",34,1
ARO:3001521,OXA-333,"OXA-333 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.","OXA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",88,1
ARO:3001548,OXA-361,"OXA-361 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.","OXA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",20,1
ARO:3001549,OXA-362,"OXA-362 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.","OXA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",22,1
ARO:3001550,OXA-363,"OXA-363 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.","OXA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",78,1
ARO:3001558,OXA-372,"OXA-372 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.","OXA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",36,2
ARO:3001611,OXA-58,"OXA-58 is a beta-lactamase found in A. baumannii","OXA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",42,1
ARO:3001633,OXA-79,"OXA-79 is a beta-lactamase found in A. baumannii","OXA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",48,1
ARO:3001651,OXA-130,"OXA-130 is a beta-lactamase found in A. baumannii","OXA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",16,1
ARO:3001670,OXA-231,"OXA-231 is a beta-lactamase found in A. baumannii","OXA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",20,1
ARO:3001681,OXA-278,"OXA-278 is a beta-lactamase found in A. baumannii","OXA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",6,2
ARO:3001710,OXA-211,"OXA-211 is a beta-lactamase found in Acinetobacter spp.","OXA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",40,1
ARO:3001711,OXA-212,"OXA-212 is a beta-lactamase found in Acinetobacter spp.","OXA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",44,1
ARO:3001714,OXA-215,"OXA-215 is a beta-lactamase found in Acinetobacter spp.","OXA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",20,1
ARO:3001737,OXA-282,"OXA-282 is a beta-lactamase found in Acinetobacter spp.","OXA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",92,2
ARO:3001738,OXA-283,"OXA-283 is a beta-lactamase found in Acinetobacter spp.","OXA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",6,1
ARO:3001739,OXA-284,"OXA-284 is a beta-lactamase found in Acinetobacter spp.","OXA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",18,1
ARO:3001740,OXA-285,"OXA-285 is a beta-lactamase found in Acinetobacter spp.","OXA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",4,1
ARO:3001741,OXA-286,"OXA-286 is a beta-lactamase found in Acinetobacter spp.","OXA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",14,1
ARO:3001751,OXA-296,"OXA-296 is a beta-lactamase found in Acinetobacter spp.","OXA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",164,7
ARO:3001755,OXA-300,"OXA-300 is a beta-lactamase found in Acinetobacter spp.","OXA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",2,1
ARO:3001769,OXA-42,"OXA-42 is a beta-lactamase found in Burkholderia pseudomallei","OXA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",14,2
ARO:3001772,OXA-59,"OXA-59 is a beta-lactamase found in Burkholderia pseudomallei","OXA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",2,1
ARO:3001773,OXA-61,"OXA-61 is a beta-lactamase found in Campylobacter jejuni","OXA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",254,6
ARO:3001777,OXA-347,"OXA-347 is a beta-lactamase found in Enterobacteriaceae","OXA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",132,1
ARO:3001780,OXA-85,"OXA-85 is a beta-lactamase found in Fusobacterium nucleatum","OXA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",14,2
ARO:3001793,OXA-320,"OXA-320 is a beta-lactamase found in Proteus mirabilis","OXA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",78,2
ARO:3001794,OXA-45,"OXA-45 is a beta-lactamase found in Pseudomonas aeruginosa","OXA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",12,1
ARO:3001796,OXA-50,"OXA-50 is a beta-lactamase found in Pseudomonas aeruginosa. It confers decreased susceptibility to ampicillin and ticarcillin and, interestingly, to moxalactam and meropenem in P. aeruginosa but not in E. coli. Also confers resistance to piperacillin-tazobactam and cephalotin.","OXA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",2,1
ARO:3001807,OXA-246,"OXA-246 is a beta-lactamase found in Pseudomonas aeruginosa","OXA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",20,1
ARO:3001809,OXA-209,"OXA-209 is a beta-lactamase found in Riemerella anatipestifer","OXA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",212,9
ARO:3001811,OXA-129,"OXA-129 is a beta-lactamase found in Salmonella enterica","OXA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",302,3
ARO:3001815,ACC-1,"ACC-1 is a beta-lactamase found in Klebsiella pneumoniae","ACC beta-lactamase",cephalosporin;monobactam;penam,Beta-lactam,"antibiotic inactivation",106,4
ARO:3001816,ACC-2,"ACC-2 is a beta-lactamase found in Hafnia alvei","ACC beta-lactamase",cephalosporin;monobactam;penam,Beta-lactam,"antibiotic inactivation",5642,44
ARO:3001817,ACC-3,"ACC-3 is a beta-lactamase found in Hafnia alvei","ACC beta-lactamase",cephalosporin;monobactam;penam,Beta-lactam,"antibiotic inactivation",20102,39
ARO:3001818,ACC-4,"ACC-4 is a beta-lactamase found in Escherichia coli","ACC beta-lactamase",cephalosporin;monobactam;penam,Beta-lactam,"antibiotic inactivation",3854,25
ARO:3001819,ACC-5,"ACC-5 is a beta-lactamase. From the Lahey list of ACC beta-lactamases. It is detected among Gram-negative bacteria isolates (Gamma- and Alpha-proteobacteria) from urban water sources.","ACC beta-lactamase",cephalosporin;monobactam;penam,Beta-lactam,"antibiotic inactivation",2592,12
ARO:3001824,ACT-5,"ACT-5 is a beta-lactamase found in Escherichia coli","ACT beta-lactamase",carbapenem;cephalosporin;cephamycin;penam,Beta-lactam,"antibiotic inactivation",4,2
ARO:3001825,ACT-6,"ACT-6 is a beta-lactamase found in Klebsiella pneumoniae","ACT beta-lactamase",carbapenem;cephalosporin;cephamycin;penam,Beta-lactam,"antibiotic inactivation",4,1
ARO:3001826,ACT-9,"ACT-9 is a beta-lactamase found in Pantoea agglomerans","ACT beta-lactamase",carbapenem;cephalosporin;cephamycin;penam,Beta-lactam,"antibiotic inactivation",180,2
ARO:3001827,ACT-16,"ACT-16 is a beta-lactamase found in Enterobacteriaceae","ACT beta-lactamase",carbapenem;cephalosporin;cephamycin;penam,Beta-lactam,"antibiotic inactivation",28,1
ARO:3001828,ACT-23,"ACT-23 is a beta-lactamase found in Escherichia coli","ACT beta-lactamase",carbapenem;cephalosporin;cephamycin;penam,Beta-lactam,"antibiotic inactivation",2,1
ARO:3001832,ACT-10,"ACT-10 is a beta-lactamase. From the Lahey list of ACT beta-lactamases.","ACT beta-lactamase",carbapenem;cephalosporin;cephamycin;penam,Beta-lactam,"antibiotic inactivation",74,1
ARO:3001834,ACT-12,"ACT-12 is a beta-lactamase. From the Lahey list of ACT beta-lactamases.","ACT beta-lactamase",carbapenem;cephalosporin;cephamycin;penam,Beta-lactam,"antibiotic inactivation",13918,9
ARO:3001837,ACT-15,"ACT-15 is a beta-lactamase. From the Lahey list of ACT beta-lactamases.","ACT beta-lactamase",carbapenem;cephalosporin;cephamycin;penam,Beta-lactam,"antibiotic inactivation",52,1
ARO:3001839,ACT-18,"ACT-18 is a beta-lactamase. From the Lahey list of ACT beta-lactamases.","ACT beta-lactamase",carbapenem;cephalosporin;cephamycin;penam,Beta-lactam,"antibiotic inactivation",244,3
ARO:3001840,ACT-19,"ACT-19 is a beta-lactamase. From the Lahey list of ACT beta-lactamases.","ACT beta-lactamase",carbapenem;cephalosporin;cephamycin;penam,Beta-lactam,"antibiotic inactivation",4892,16
ARO:3001841,ACT-20,"ACT-20 is a beta-lactamase. From the Lahey list of ACT beta-lactamases.","ACT beta-lactamase",carbapenem;cephalosporin;cephamycin;penam,Beta-lactam,"antibiotic inactivation",36,2
ARO:3001842,ACT-21,"ACT-21 is a beta-lactamase. From the Lahey list of ACT beta-lactamases.","ACT beta-lactamase",carbapenem;cephalosporin;cephamycin;penam,Beta-lactam,"antibiotic inactivation",4030,7
ARO:3001843,ACT-22,"ACT-22 is a beta-lactamase. From the Lahey list of ACT beta-lactamases.","ACT beta-lactamase",carbapenem;cephalosporin;cephamycin;penam,Beta-lactam,"antibiotic inactivation",1238,14
ARO:3001845,ACT-25,"ACT-25 is a beta-lactamase. From the Lahey list of ACT beta-lactamases.","ACT beta-lactamase",carbapenem;cephalosporin;cephamycin;penam,Beta-lactam,"antibiotic inactivation",3116,2
ARO:3001847,ACT-27,"ACT-27 is a beta-lactamase. From the Lahey list of ACT beta-lactamases.","ACT beta-lactamase",carbapenem;cephalosporin;cephamycin;penam,Beta-lactam,"antibiotic inactivation",226,4
ARO:3001848,ACT-28,"ACT-28 is a beta-lactamase. From the Lahey list of ACT beta-lactamases.","ACT beta-lactamase",carbapenem;cephalosporin;cephamycin;penam,Beta-lactam,"antibiotic inactivation",1402,7
ARO:3001849,ACT-29,"ACT-29 is a beta-lactamase. From the Lahey list of ACT beta-lactamases.","ACT beta-lactamase",carbapenem;cephalosporin;cephamycin;penam,Beta-lactam,"antibiotic inactivation",12,2
ARO:3001850,ACT-30,"ACT-30 is a beta-lactamase. From the Lahey list of ACT beta-lactamases.","ACT beta-lactamase",carbapenem;cephalosporin;cephamycin;penam,Beta-lactam,"antibiotic inactivation",10,2
ARO:3001855,ACT-35,"ACT-35 is a beta-lactamase. From the Lahey list of ACT beta-lactamases.","ACT beta-lactamase",carbapenem;cephalosporin;cephamycin;penam,Beta-lactam,"antibiotic inactivation",8,1
ARO:3001856,CFE-1,"CFE-1 is a beta-lactamase found in Escherichia coli","CMY beta-lactamase",cephamycin,Beta-lactam,"antibiotic inactivation",8,1
ARO:3001873,CTX-M-10,"CTX-M-10 is a beta-lactamase found in Escherichia coli","CTX-M beta-lactamase",cephalosporin,Beta-lactam,"antibiotic inactivation",2,1
ARO:3001888,CTX-M-26,"CTX-M-26 is a beta-lactamase found in Klebsiella pneumoniae","CTX-M beta-lactamase",cephalosporin,Beta-lactam,"antibiotic inactivation",206,1
ARO:3001903,CTX-M-41,"CTX-M-41 is a beta-lactamase found in Proteus mirabilis","CTX-M beta-lactamase",cephalosporin,Beta-lactam,"antibiotic inactivation",12,1
ARO:3001917,CTX-M-55,"CTX-M-55 is a beta-lactamase found in the Enterobacteriaceae family","CTX-M beta-lactamase",cephalosporin,Beta-lactam,"antibiotic inactivation",38,1
ARO:3001942,CTX-M-81,"CTX-M-81 is a beta-lactamase found in Klebsiella pneumoniae","CTX-M beta-lactamase",cephalosporin,Beta-lactam,"antibiotic inactivation",2,1
ARO:3001999,CTX-M-141,"CTX-M-141 is a beta-lactamase. From the Lahey list of CTX-M beta-lactamases.","CTX-M beta-lactamase",cephalosporin,Beta-lactam,"antibiotic inactivation",2,1
ARO:3002009,CTX-M-152,"CTX-M-152 is a beta-lactamase. From the Lahey list of CTX-M beta-lactamases.","CTX-M beta-lactamase",cephalosporin,Beta-lactam,"antibiotic inactivation",12,1
ARO:3002012,CMY-1,"CMY-1 is a beta-lactamase found in the Enterobacteriaceae family","CMY beta-lactamase",cephamycin,Beta-lactam,"antibiotic inactivation",8,3
ARO:3002019,CMY-8,"CMY-8 is a beta-lactamase found in Klebsiella pneumoniae","CMY beta-lactamase",cephamycin,Beta-lactam,"antibiotic inactivation",30,2
ARO:3002020,CMY-9,"CMY-9 is a beta-lactamase found in Escherichia coli","CMY beta-lactamase",cephamycin,Beta-lactam,"antibiotic inactivation",2202,6
ARO:3002023,CMY-12,"CMY-12 is a beta-lactamase found in the Enterobacteriaceae family","CMY beta-lactamase",cephamycin,Beta-lactam,"antibiotic inactivation",70,2
ARO:3002029,CMY-18,"CMY-18 is a beta-lactamase found in the Enterobacteriaceae family","CMY beta-lactamase",cephamycin,Beta-lactam,"antibiotic inactivation",6,1
ARO:3002037,CMY-26,"CMY-26 is a beta-lactamase found in the Enterobacteriaceae family","CMY beta-lactamase",cephamycin,Beta-lactam,"antibiotic inactivation",38,2
ARO:3002048,CMY-37,"CMY-37 is a beta-lactamase found in Citrobacter freundii","CMY beta-lactamase",cephamycin,Beta-lactam,"antibiotic inactivation",6,1
ARO:3002055,CMY-44,"CMY-44 is a beta-lactamase found in Escherichia coli","CMY beta-lactamase",cephamycin,Beta-lactam,"antibiotic inactivation",30,1
ARO:3002056,CMY-45,"CMY-45 is a beta-lactamase found in Proteus mirabilis","CMY beta-lactamase",cephamycin,Beta-lactam,"antibiotic inactivation",10,1
ARO:3002062,CMY-51,"CMY-51 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.","CMY beta-lactamase",cephamycin,Beta-lactam,"antibiotic inactivation",1354,11
ARO:3002070,CMY-99,"CMY-99 is a beta-lactamase found in Proteus mirabilis","CMY beta-lactamase",cephamycin,Beta-lactam,"antibiotic inactivation",2,1
ARO:3002071,CMY-110,"CMY-110 is a beta-lactamase found in Escherichia coli","CMY beta-lactamase",cephamycin,Beta-lactam,"antibiotic inactivation",40,1
ARO:3002073,CMY-60,"CMY-60 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.","CMY beta-lactamase",cephamycin,Beta-lactam,"antibiotic inactivation",560,4
ARO:3002076,CMY-63,"CMY-63 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.","CMY beta-lactamase",cephamycin,Beta-lactam,"antibiotic inactivation",2,1
ARO:3002079,CMY-66,"CMY-66 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.","CMY beta-lactamase",cephamycin,Beta-lactam,"antibiotic inactivation",438,1
ARO:3002081,CMY-68,"CMY-68 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.","CMY beta-lactamase",cephamycin,Beta-lactam,"antibiotic inactivation",84,2
ARO:3002084,CMY-71,"CMY-71 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.","CMY beta-lactamase",cephamycin,Beta-lactam,"antibiotic inactivation",4,1
ARO:3002086,CMY-73,"CMY-73 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.","CMY beta-lactamase",cephamycin,Beta-lactam,"antibiotic inactivation",47416,178
ARO:3002089,CMY-76,"CMY-76 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.","CMY beta-lactamase",cephamycin,Beta-lactam,"antibiotic inactivation",174,1
ARO:3002091,CMY-78,"CMY-78 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.","CMY beta-lactamase",cephamycin,Beta-lactam,"antibiotic inactivation",176,1
ARO:3002094,CMY-81,"CMY-81 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.","CMY beta-lactamase",cephamycin,Beta-lactam,"antibiotic inactivation",400,2
ARO:3002095,CMY-82,"CMY-82 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.","CMY beta-lactamase",cephamycin,Beta-lactam,"antibiotic inactivation",148,1
ARO:3002096,CMY-83,"CMY-83 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.","CMY beta-lactamase",cephamycin,Beta-lactam,"antibiotic inactivation",6,1
ARO:3002098,CMY-85,"CMY-85 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.","CMY beta-lactamase",cephamycin,Beta-lactam,"antibiotic inactivation",1000,3
ARO:3002103,CMY-90,"CMY-90 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.","CMY beta-lactamase",cephamycin,Beta-lactam,"antibiotic inactivation",174,1
ARO:3002106,CMY-93,"CMY-93 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.","CMY beta-lactamase",cephamycin,Beta-lactam,"antibiotic inactivation",88,1
ARO:3002111,CMY-98,"CMY-98 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.","CMY beta-lactamase",cephamycin,Beta-lactam,"antibiotic inactivation",2,1
ARO:3002125,CMY-114,"CMY-114 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.","CMY beta-lactamase",cephamycin,Beta-lactam,"antibiotic inactivation",1018,4
ARO:3002133,DHA-2,"DHA-2 is a beta-lactamase found in Klebsiella pneumoniae","DHA beta-lactamase",cephalosporin;cephamycin,Beta-lactam,"antibiotic inactivation",532,10
ARO:3002135,DHA-6,"DHA-6 is a beta-lactamase found in the Enterobacteriaceae family","DHA beta-lactamase",cephalosporin;cephamycin,Beta-lactam,"antibiotic inactivation",134,4
ARO:3002138,DHA-5,"DHA-5 is a beta-lactamase. From the Lahey list of DHA beta-lactamases.","DHA beta-lactamase",cephalosporin;cephamycin,Beta-lactam,"antibiotic inactivation",156,3
ARO:3002140,DHA-9,"DHA-9 is a beta-lactamase. From the Lahey list of DHA beta-lactamases.","DHA beta-lactamase",cephalosporin;cephamycin,Beta-lactam,"antibiotic inactivation",366,2
ARO:3002141,DHA-10,"DHA-10 is a beta-lactamase. From the Lahey list of DHA beta-lactamases.","DHA beta-lactamase",cephalosporin;cephamycin,Beta-lactam,"antibiotic inactivation",2092,6
